Estas plantillas coinciden con su entrada:

Nombre de la pl...  Nombre corto                            Idioma      Etiquetas                                                                                                                                                                                                               
DevExpress v26....  dx.wpf.item.gantt                       [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.win.hybrid.html                      [C#]        DevExpress/Windows/Desktop/WinForms/Web/HTML/CSS/Hybrid Development                                                                                                                                                     
DevExpress v26....  dx.win.hybrid.js                        [C#]        DevExpress/Windows/Desktop/WinForms/Web/JavaScript/JS/Hybrid Development                                                                                                                                                
DevExpress v26....  dx.xaf.blazor.logonwindowtemplate       [C#]        DevExpress/XAF/Logon/Blazor                                                                                                                                                                                             
DevExpress v26....  dx.xaf.win.logonform                    [C#]        DevExpress/XAF/WinForms/Logon/Windows                                                                                                                                                                                   
DevExpress v26....  dx.xaf.win.lookupcontroltemplate        [C#]        DevExpress/XAF/WinForms/Lookup/Windows                                                                                                                                                                                  
DevExpress v26....  dx.xaf.win.lookupform                   [C#]        DevExpress/XAF/WinForms/Lookup/Windows                                                                                                                                                                                  
DevExpress v26....  dx.xaf.blazor.mainformtemplate          [C#]        DevExpress/XAF/Blazor                                                                                                                                                                                                   
DevExpress v26....  dx.xaf.win.lightstylemainform           [C#]        DevExpress/XAF/WinForms/Windows                                                                                                                                                                                         
DevExpress v26....  dx.xaf.blazor.mainribbonformtemplate    [C#]        DevExpress/XAF/Blazor                                                                                                                                                                                                   
DevExpress v26....  dx.xaf.win.lightstylemainribbonform     [C#]        DevExpress/XAF/WinForms/Windows                                                                                                                                                                                         
DevExpress v26....  dx.maui                                 [C#]        DevExpress/MAUI/Mobile/iOS/Android                                                                                                                                                                                      
DevExpress v26....  dx.xaf.blazor.nestedframetemplate       [C#]        DevExpress/XAF/Frame/Blazor                                                                                                                                                                                             
DevExpress v26....  dx.xaf.win.nestedframetemplate          [C#]        DevExpress/XAF/WinForms/Frame/Windows                                                                                                                                                                                   
DevExpress v26....  dx.xaf.nonpersistentobject              [C#]        DevExpress/XAF                                                                                                                                                                                                          
DevExpress v26....  dx.xaf.win.popupform                    [C#]        DevExpress/XAF/WinForms/Popup/Windows                                                                                                                                                                                   
